ribosome_profiling_counts,ribosome_profiling_rpk,RNA-seq_counts,RNA-seq_rpk,transcript_ID,ribosome_profiling_tpm,RNA-seq_tpm,translation_efficiency
0.0,0.0,0.0,0.0,FBtr0302344,0.0,0.0,
0.0,0.0,0.0,0.0,FBtr0300105,0.0,0.0,
5.0,3.5014005602240896,0.0,0.0,FBtr0347010,0.8927472581771393,0.0,inf
458.0,87.27134146341463,131.6933333333335,25.094004065040682,FBtr0078170,22.251453231023067,68.69246259463739,0.32392859988630207
459.0,85.14190317195326,132.41333333333324,24.56192419464538,FBtr0078171,21.7085132949999,67.23594427656603,0.32287065391250913
451.0,88.74458874458875,129.0666666666687,25.3968253968258,FBtr0078169,22.62708505270786,69.5214073478379,0.325469318241751
454.0,88.06983511154219,131.42666666666693,25.494988684125495,FBtr0078166,22.455044052117845,69.79012006197962,0.32175104487821254
458.0,88.43406062946514,131.6933333333335,25.428332367896022,FBtr0306590,22.547910128675237,69.60765470103436,0.3239285998863021
453.0,86.69856459330144,131.42666666666693,25.15342902711329,FBtr0078168,22.105413104637726,68.85513280756076,0.32104234213619004
454.0,86.80688336520076,131.42666666666693,25.12938177182924,FBtr0078167,22.133030992097037,68.78930572074665,0.3217510448782125
438.0,82.93883734141262,130.69333333333398,24.7478381619644,FBtr0330655,21.146800647169336,67.74486617730302,0.3121535525928056
460.0,86.54750705550329,131.6933333333335,24.7776732518031,FBtr0306589,22.066898173147667,67.82653691376424,0.3253431352569847
461.0,85.5287569573284,131.6933333333335,24.432900432900464,FBtr0306591,21.80714886961322,66.88275393258942,0.32605040294232596
461.0,83.39363241678727,132.41333333333324,23.953207911239733,FBtr0306592,21.262759118526635,65.56964102658601,0.32427749772040676
0.0,0.0,0.0,0.0,FBtr0113008,0.0,0.0,
10.0,2.552974214960429,0.9999999999999987,0.25529742149604256,FBtr0309227,0.650928304660176,0.6988525438654761,0.9314243904154335
9.0,2.0703933747412004,0.0,0.0,FBtr0113416,0.5278853352699605,0.0,inf
10.0,2.298850574712644,0.9999999999999987,0.2298850574712641,FBtr0078163,0.5861347515756115,0.6292886009933494,0.9314243904154336
10.0,1.6260162601626016,3.9999999999999822,0.6504065040650377,FBtr0309225,0.4145831169681154,1.7804262857372755,0.23285609760385914
11.0,1.5703069236259815,3.9999999999999822,0.5710206995003544,FBtr0309229,0.40037898448098513,1.5631151545016766,0.2561417073642451
11.0,1.5220700152207,1.1866666666666665,0.16419906830865733,FBtr0078164,0.3880800866596514,0.44947941861459434,0.8633990135873391
11.0,1.5139003578309937,2.1866666666666696,0.3009450408294343,FBtr0309228,0.385997080414162,0.8238085841795699,0.4685519037150797
11.0,1.670970682059851,3.9999999999999822,0.6076257025672159,FBtr0309226,0.42604508374438715,1.663317888088143,0.256141707364245
95.0,22.875030098723816,7.000000000000016,1.6855285335901797,FBtr0306539,5.8324147866270515,4.613974933842417,1.264075958420941
95.0,27.504342790966994,5.386666666666683,1.5595444894807997,FBtr0306538,7.012744241129746,4.269105529379336,1.642672965769786
102.0,27.33851514339319,5.386666666666683,1.4437594925399846,FBtr0306536,6.970463395178204,3.952155051856399,1.7637120264054544
95.0,25.072578516759037,7.000000000000016,1.8474531538664596,FBtr0306537,6.392720667422048,5.05722826609859,1.264075958420941
102.0,25.247524752475247,7.000000000000016,1.7326732673267367,FBtr0078100,6.437326467180663,4.743029183229593,1.3572183974624838
116.0,81.11888111888112,6.013333333333364,4.205128205128227,FBtr0306540,20.68276892622752,11.511140716632264,1.796761019204927
139.0,75.5024443237371,13.720000000000113,7.452471482889795,FBtr0078101,19.25075380446461,20.400435787335923,0.9436442439339944
123.0,84.36213991769547,10.080000000000052,6.913580246913615,FBtr0302164,21.509698136524754,18.925272000244554,1.1365595240188253
123.0,80.078125,12.773333333333424,8.315972222222282,FBtr0331680,20.417408778029355,22.76418738645492,0.896909185968925
120.0,70.83825265643448,4.48000000000001,2.64462809917356,FBtr0301733,18.061531305930885,7.239419277543352,2.494886760041331
0.0,0.0,0.0,0.0,FBtr0306541,0.0,0.0,
5.0,2.2471910112359548,7.119999999999994,3.199999999999997,FBtr0290323,0.572963184124474,8.759697325827426,0.06540901618085906
5.0,3.0084235860409145,6.999999999999991,4.211793020457275,FBtr0330637,0.7670536008886611,11.529385018199452,0.06653031360110238
165.0,25.47869054972205,2.000000000000005,0.3088326127239044,FBtr0078103,6.4962664907874474,0.845400066189339,7.684251220927298
192.0,157.24815724815724,16.159999999999997,13.23505323505323,FBtr0330636,40.09334516920153,36.229706384462354,1.1066428400975437
236.0,149.0840176879343,16.159999999999997,10.208464939987364,FBtr0078104,38.01174579706397,27.94470719862826,1.3602484909532306
69.0,27.048216385731084,273.91890410958877,107.37706942751421,FBtr0301452,6.896446322439034,293.9345712248072,0.02346252192691036
542.0,227.06325932132384,17.00000000000008,7.121910347716834,FBtr0089437,57.894005185999966,19.495555946149338,2.969600115324482
167.0,173.7773152965661,2.9999999999999964,3.1217481789802255,FBtr0308091,44.307761735910816,8.545490367287421,5.184929106645912
546.0,249.99999999999997,17.00000000000008,7.783882783882821,FBtr0089428,63.742154233847735,21.307642877041424,2.9915159833342564
